Group,Detector_Name,Detector_ID,Total_Hits,Elements
Station 1,D0U,1,254041,201
Station 1,D0Up,2,237304,201
Station 1,D0X,3,169869,160
Station 1,D0Xp,4,175672,160
Station 1,D0V,5,272033,201
Station 1,D0Vp,6,1,201
Station 2,D2V,13,120486,128
Station 2,D2Vp,14,107222,128
Station 2,D2Xp,15,95380,112
Station 2,D2X,16,95801,112
Station 2,D2U,17,109930,128
Station 2,D2Up,18,105429,128
Station 3+,D3pVp,19,86772,134
Station 3+,D3pV,20,88566,134
Station 3+,D3pXp,21,60763,116
Station 3+,D3pX,22,62920,116
Station 3+,D3pUp,23,80298,134
Station 3+,D3pU,24,77383,134
Station 3-,D3mVp,25,80369,134
Station 3-,D3mV,26,81938,134
Station 3-,D3mXp,27,62285,116
Station 3-,D3mX,28,62680,116
Station 3-,D3mUp,29,83470,134
Station 3-,D3mU,30,82228,134
Hodo,H1B,31,146382,23
Hodo,H1T,32,144803,23
Hodo,H1L,33,113020,20
Hodo,H1R,34,90969,20
Hodo,H2L,35,42582,19
Hodo,H2R,36,31443,19
Hodo,H2B,37,36266,16
Hodo,H2T,38,35387,16
Hodo,H3B,39,15381,16
Hodo,H3T,40,15601,16
Hodo,H4Y1L,41,29378,16
Hodo,H4Y1R,42,22126,16
Hodo,H4Y2L,43,11834,16
Hodo,H4Y2R,44,16651,16
Hodo,H4B,45,25342,16
Hodo,H4T,46,25825,16
Prop,P1Y1,47,44923,72
Prop,P1Y2,48,44578,72
Prop,P1X1,49,52256,72
Prop,P1X2,50,50783,72
Prop,P2X1,51,16776,72
Prop,P2X2,52,17845,72
Prop,P2Y1,53,39272,72
Prop,P2Y2,54,47135,72
DP-1,DP1TL,55,18331,80
DP-1,DP1TR,56,12438,80
DP-1,DP1BL,57,17174,80
DP-1,DP1BR,58,11640,80
DP-2,DP2TL,59,4086,48
DP-2,DP2TR,60,2704,48
DP-2,DP2BL,61,4455,48
DP-2,DP2BR,62,3353,48
